replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
76	1	1	TRUE	0.996628117184326	0.996628117184326	1	0.922540616184747	TRUE	1	TRUE	TRUE
76	2	2	TRUE	-0.976531605484745	0.976531605484745	-1	0.814559596058347	TRUE	2	FALSE	FALSE
76	3	3	TRUE	-0.78303600919658	0.78303600919658	-1	0.580851847370964	TRUE	3	FALSE	FALSE
77	1	1	TRUE	0.975108547355148	0.975108547355148	1	0.764141023573347	TRUE	1	TRUE	TRUE
77	2	2	TRUE	0.976961656504555	0.976961656504555	1	0.768912950363848	TRUE	2	FALSE	FALSE
77	3	3	TRUE	-0.974130608644776	0.974130608644776	-1	0.898443047322085	TRUE	3	FALSE	FALSE
78	1	1	TRUE	0.991134254653859	0.991134254653859	1	0.883270032166334	TRUE	1	TRUE	TRUE
78	2	2	TRUE	0.990091760907198	0.990091760907198	1	0.890051098532321	TRUE	3	FALSE	FALSE
78	3	3	TRUE	0.976416515619598	0.976416515619598	1	0.887003696093988	TRUE	2	FALSE	FALSE
79	1	1	TRUE	0.994458451301635	0.994458451301635	1	0.895166814009306	TRUE	1	TRUE	TRUE
79	2	2	TRUE	0.989988189838028	0.989988189838028	1	0.894005659287123	TRUE	2	FALSE	FALSE
79	3	3	TRUE	-0.993759087351382	0.993759087351382	-1	0.911755195981379	TRUE	3	FALSE	FALSE
80	1	1	TRUE	0.937388065826765	0.937388065826765	1	0.591113680923414	TRUE	1	TRUE	TRUE
80	2	2	TRUE	0.935531568780438	0.935531568780438	1	0.589343126412526	TRUE	2	FALSE	FALSE
80	3	3	TRUE	0.972624092174595	0.972624092174595	1	0.93814135697271	TRUE	3	FALSE	FALSE
81	1	1	TRUE	0.998538063276764	0.998538063276764	1	0.960585350979456	TRUE	1	TRUE	TRUE
81	2	2	TRUE	-0.999648041873071	0.999648041873071	-1	0.994661736338572	TRUE	3	FALSE	FALSE
81	3	3	TRUE	0.995419831991942	0.995419831991942	1	0.960962850729324	TRUE	2	FALSE	FALSE
82	1	1	TRUE	0.998407359295895	0.998407359295895	1	0.968782375698158	TRUE	1	TRUE	TRUE
82	2	2	TRUE	0.999682641219519	0.999682641219519	1	0.982786614763137	TRUE	3	FALSE	FALSE
82	3	3	TRUE	-0.915752587477711	0.915752587477711	-1	0.869403813435204	TRUE	2	FALSE	FALSE
