design	case	observed	expected
cross-sectional	successful	e9a80c9b4a59b685a78827a4affcb3288200df4f38008ac5333f10abb1081862	e9a80c9b4a59b685a78827a4affcb3288200df4f38008ac5333f10abb1081862
independent-time-course	successful	1ad7c11851846db6accd5470c0e95b894d2a69ebe915b63a0d10f0ddcf448db7	1ad7c11851846db6accd5470c0e95b894d2a69ebe915b63a0d10f0ddcf448db7
cross-sectional	partial	44bc45c654ca7761513643ca2992af8c6382668014960a5ea43e8f11e33a9d04	44bc45c654ca7761513643ca2992af8c6382668014960a5ea43e8f11e33a9d04
independent-time-course	partial	10a07d33164d4805b0c84f6b6349e7c22077ad76c5fee0a0e79d1bb080f0e327	10a07d33164d4805b0c84f6b6349e7c22077ad76c5fee0a0e79d1bb080f0e327
independent-time-course	abstention	non-identifiable-design	non-identifiable-design
