experiment,matrix_sample_id,include,exclusion_reason,genotype,temperature_c,stage,day,tissue,biological_unit,source_group,source_deg_id,metadata_status,source_library_keys,source_specimen_ids,source_pool_composition,genotype_confidence,temperature_confidence,stage_confidence,source_registry_refcodes,defect_flag
gonad_temperature,SW_28C2_2cGonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28C2_2cGonad_1,master_registry_matched,SW_28C2_2c,SW_28C2_2c,,authoritative,high,high,232,
gonad_temperature,SW_28C2_3aGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28C2_3aGonad_1,master_registry_matched,SW_28C2_3a,SW_28C2_3a,,authoritative,high,high,237,
gonad_temperature,SW_28C2_3bGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28C2_3bGonad_1,master_registry_matched,SW_28C2_3b,SW_28C2_3b,,authoritative,high,high,238,
gonad_temperature,SW_28C2_3cGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28C2_3cGonad_1,master_registry_matched,SW_28C2_3c,SW_28C2_3c,,authoritative,high,high,239,
gonad_temperature,SW_28C9_1a_Gonad_1,true,,ZZ,28,S6,,gonad,independent destructive sample,ZZ_28C_S6,SW_28C9_1a_Gonad_1,master_registry_matched,SW_28C9_1a,SW_28C9_1a,,authoritative,high,high,227,
gonad_temperature,SW_28C9_1b_Gonad_1,true,,ZZ,28,S6,,gonad,independent destructive sample,ZZ_28C_S6,SW_28C9_1b_Gonad_1,master_registry_matched,SW_28C9_1b,SW_28C9_1b,,authoritative,high,high,228,
gonad_temperature,SW_28C9_2a_Gonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28C9_2a_Gonad_1,master_registry_matched,SW_28C9_2a,SW_28C9_2a,,authoritative,high,high,233,
gonad_temperature,SW_28C9_2b_Gonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28C9_2b_Gonad_1,master_registry_matched,SW_28C9_2b,SW_28C9_2b,,authoritative,high,high,234,
gonad_temperature,SW_28C9_3a_Gonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28C9_3a_Gonad_1,master_registry_matched,SW_28C9_3a,SW_28C9_3a,,authoritative,high,high,240,
gonad_temperature,SW_28C9_3b_Gonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28C9_3b_Gonad_1,master_registry_matched,SW_28C9_3b,SW_28C9_3b,,authoritative,high,high,241,
gonad_temperature,SW_28ZWC1_1aGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC1_1aGonad_1,master_registry_matched,SW_28ZWC1_1a,SW_28ZWC1_1a,,authoritative,high,high,189,
gonad_temperature,SW_28ZWC1_1bGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC1_1bGonad_1,master_registry_matched,SW_28ZWC1_1b,SW_28ZWC1_1b,,authoritative,high,high,190,
gonad_temperature,SW_28ZWC1_1cGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC1_1cGonad_1,master_registry_matched,SW_28ZWC1_1c,SW_28ZWC1_1c,,authoritative,high,high,191,
gonad_temperature,SW_28ZWC1_2aGonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28ZWC1_2aGonad_1,master_registry_matched,SW_28ZWC1_2a,SW_28ZWC1_2a,,authoritative,high,high,210,
gonad_temperature,SW_28ZWC1_2bGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC1_2bGonad_1,master_registry_matched,SW_28ZWC1_2b,SW_28ZWC1_2b,,authoritative,high,high,196,
gonad_temperature,SW_28ZWC1_2cGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC1_2cGonad_1,master_registry_matched,SW_28ZWC1_2c,SW_28ZWC1_2c,,authoritative,high,high,197,
gonad_temperature,SW_28ZWC1_2dGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC1_2dGonad_1,master_registry_matched,SW_28ZWC1_2d,SW_28ZWC1_2d,,authoritative,high,high,198,
gonad_temperature,SW_28ZWC1_3aGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC1_3aGonad_1,master_registry_matched,SW_28ZWC1_3a,SW_28ZWC1_3a,,authoritative,high,high,215,
gonad_temperature,SW_28ZWC1_3bGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC1_3bGonad_1,master_registry_matched,SW_28ZWC1_3b,SW_28ZWC1_3b,,authoritative,high,high,216,
gonad_temperature,SW_28ZWC1_3cGonad_1,true,,ZW,28,S15,,gonad,independent destructive sample,ZW_28C_S15,SW_28ZWC1_3cGonad_1,master_registry_matched,SW_28ZWC1_3c,SW_28ZWC1_3c,,authoritative,high,high,205,
gonad_temperature,SW_28ZWC2_1aGonad_1,true,,ZZ,28,S6,,gonad,independent destructive sample,ZZ_28C_S6,SW_28ZWC2_1aGonad_1,master_registry_matched,SW_28ZWC2_1a,SW_28ZWC2_1a,,authoritative,high,high,207,
gonad_temperature,SW_28ZWC2_1bGonad_1,true,,ZZ,28,S6,,gonad,independent destructive sample,ZZ_28C_S6,SW_28ZWC2_1bGonad_1,master_registry_matched,SW_28ZWC2_1b,SW_28ZWC2_1b,,authoritative,high,high,208,
gonad_temperature,SW_28ZWC2_2aGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC2_2aGonad_1,master_registry_matched,SW_28ZWC2_2a,SW_28ZWC2_2a,,authoritative,high,high,199,
gonad_temperature,SW_28ZWC2_2bGonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28ZWC2_2bGonad_1,master_registry_matched,SW_28ZWC2_2b,SW_28ZWC2_2b,,authoritative,high,high,211,
gonad_temperature,SW_28ZWC2_2cGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC2_2cGonad_1,master_registry_matched,SW_28ZWC2_2c,SW_28ZWC2_2c,,authoritative,high,high,200,
gonad_temperature,SW_28ZWC2_3aGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC2_3aGonad_1,master_registry_matched,SW_28ZWC2_3a,SW_28ZWC2_3a,,authoritative,high,high,217,
gonad_temperature,SW_28ZWC2_3bGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC2_3bGonad_1,master_registry_matched,SW_28ZWC2_3b,SW_28ZWC2_3b,,authoritative,high,high,218,
gonad_temperature,SW_28ZWC3_1aGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC3_1aGonad_1,master_registry_matched,SW_28ZWC3_1a,SW_28ZWC3_1a,,authoritative,high,high,192,
gonad_temperature,SW_28ZWC3_1bGonad_1,false,multiple registry libraries map to one matrix column,ZW; ZZ,28,S6,,gonad,unresolved combined libraries,,SW_28ZWC3_1bGonad_1,registry_multiple_libraries,SW_28ZWC3_1b; SW_28C1_1a,SW_28ZWC3_1b; SW_28C1_1a,,authoritative,high,high,193; 223,MEDIUM_matrix_column_pools_two_libraries
gonad_temperature,SW_28ZWC3_1cGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC3_1cGonad_1,master_registry_matched,SW_28ZWC3_1c,SW_28ZWC3_1c,,authoritative,high,high,194,
gonad_temperature,SW_28ZWC3_2aGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC3_2aGonad_1,master_registry_matched,SW_28ZWC3_2a,SW_28ZWC3_2a,,authoritative,high,high,201,
gonad_temperature,SW_28ZWC3_2bGonad_1,true,,ZZ,28,S12,,gonad,independent destructive sample,ZZ_28C_S12,SW_28ZWC3_2bGonad_1,master_registry_matched,SW_28ZWC3_2b,SW_28ZWC3_2b,,authoritative,high,high,212,
gonad_temperature,SW_28ZWC3_2cGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC3_2cGonad_1,master_registry_matched,SW_28ZWC3_2c,SW_28ZWC3_2c,,authoritative,high,high,202,
gonad_temperature,SW_28ZWC3_2dGonad_1,true,,ZW,28,S12,,gonad,independent destructive sample,ZW_28C_S12,SW_28ZWC3_2dGonad_1,master_registry_matched,SW_28ZWC3_2d,SW_28ZWC3_2d,,authoritative,high,high,203,
