design	method	unit	status	n_requested	n_completed	n_failed	plan_digest	account_digest
Cross-sectional observations	stratified-biological-unit-bootstrap	independent-biological-observation	complete	20	20	0	268d7876044653f48ba090344db50d3996ec12b9bfe7c9fd6f5c191f37055e7a	a350d8cc750ed54ad0ff4c68583b15df5be7ac5e09054dcbf1c809f38a386145
Independent condition-by-time cells	condition-time-cell-bootstrap	independent-biological-observation	partial	20	14	6	3a04590a15d135158849b9020bad3ab7aee128c181d6246b30a7726da0df49d2	72ebc7d8b71958d6e679f970097531c23d524ffe1aeec424e50b72a78dd112fb
Repeated complete-subject trajectories	condition-stratified-subject-trajectory-bootstrap	complete-subject	not-identifiable	20	0	20	05415c381ac7e02cc7c2ca89efb9f5ab8cd71c122c52ce6d509cbaf5706d3c96	245d296c761cf6d22d2ef0d96d0d6f50c7d98b892bf5365c30671644d2713d55
