experiment,matrix_sample_id,include,exclusion_reason,genotype,temperature_c,stage,day,tissue,biological_unit,source_group,source_deg_id,metadata_status,source_library_keys,source_specimen_ids,source_pool_composition,genotype_confidence,temperature_confidence,stage_confidence,source_registry_refcodes,defect_flag
gsd_timecourse_28c,FS42260608,false,DEG_ID_inconsistent_with_GROUP,ZZ,28,,9,gonad,declared pool of destructive samples,,FS42260608,registry_defect,FS42260608,POOLED — no single specimen,82395-ZZ_9-Pool1,high,authoritative,unrecorded,469,DEG_ID_inconsistent_with_GROUP
gsd_timecourse_28c,FS42260616,true,,ZW,28,,9,gonad,declared pool of destructive samples,ZW_9,FS42260616,master_registry_matched,FS42260616,POOLED — no single specimen,82395-ZW_9-Pool1,high,authoritative,unrecorded,465,
gsd_timecourse_28c,FS42260624,true,,ZW,28,,9,gonad,declared pool of destructive samples,ZW_9,FS42260624,master_registry_matched,FS42260624,POOLED — no single specimen,82395-ZW_9-Pool2,high,authoritative,unrecorded,466,
gsd_timecourse_28c,FS42260632,true,,ZW,28,,11,gonad,declared pool of destructive samples,ZW_11,FS42260632,master_registry_matched,FS42260632,POOLED — no single specimen,82395-ZW_11-Pool1,high,authoritative,unrecorded,457,
gsd_timecourse_28c,FS42260640,true,,ZW,28,,11,gonad,declared pool of destructive samples,ZW_11,FS42260640,master_registry_matched,FS42260640,POOLED — no single specimen,82395-ZW_11-Pool2,high,authoritative,unrecorded,458,
gsd_timecourse_28c,FS42260648,true,,ZW,28,,15,gonad,declared pool of destructive samples,ZW_15,FS42260648,master_registry_matched,FS42260648,POOLED — no single specimen,82395-ZW_15-Pool1,high,authoritative,unrecorded,459,
gsd_timecourse_28c,FS42260656,true,,ZZ,28,,11,gonad,declared pool of destructive samples,ZZ_11,FS42260656,master_registry_matched,FS42260656,POOLED — no single specimen,82395-ZZ_11,authoritative,authoritative,unrecorded,434;456,
gsd_timecourse_28c,FS42261918,true,,ZZ,28,,13,gonad,independent destructive sample,ZZ_13,FS42261918,master_registry_matched,FS42261918,E:81618:1:24:7,,authoritative,authoritative,unrecorded,428;450,
gsd_timecourse_28c,FS42261919,true,,ZW,28,,17,gonad,independent destructive sample,ZW_17,FS42261919,master_registry_matched,FS42261919,E:82395:1:24:29,,authoritative,authoritative,unrecorded,422;444,
gsd_timecourse_28c,FS42261920,true,,ZW,28,,13,gonad,independent destructive sample,ZW_13,FS42261920,master_registry_matched,FS42261920,E:81618:1:24:12,,authoritative,authoritative,unrecorded,415;437,
gsd_timecourse_28c,FS42261921,true,,ZW,28,,9,gonad,independent destructive sample,ZW_9,FS42261921,master_registry_matched,FS42261921,E:82395:1:24:5,,authoritative,authoritative,unrecorded,425;447,
