component	estimate	effect_magnitude	proposal_eligible	diagnostic	evidence_status
1	0.0239701167518736	0.0239701167518736	TRUE		estimable-exploratory-only
2	-4.36749642667255	4.36749642667255	TRUE		estimable-exploratory-only
3	NA	NA	TRUE	singular-random-effects-covariance	estimable-exploratory-only
4	NA	NA	TRUE	singular-random-effects-covariance	estimable-exploratory-only
5	NA	NA	TRUE	singular-random-effects-covariance	estimable-exploratory-only
6	NA	NA	TRUE	singular-random-effects-covariance	estimable-exploratory-only
